name,club,season,position,overall,nationality
Barragán,Elche CF,2021/22,RB,73,Spain
Manolo Reina,RCD Mallorca,2021/22,GK,73,Spain
Kiko Casilla,Elche CF,2021/22,GK,73,Spain
Dídac Vilà,RCD Espanyol de Barcelona,2021/22,LB,73,Spain
S. Mustafi,Levante Unión Deportiva,2021/22,CB,73,Germany
Villalibre,Athletic Club de Bilbao,2021/22,ST,73,Spain
J. Guidetti,Deportivo Alavés,2021/22,ST,73,Sweden
Timor,Getafe CF,2021/22,CDM,73,Spain
J. Jønsson,Cádiz CF,2021/22,CDM,73,Denmark
Ruiz de Galarreta,RCD Mallorca,2021/22,CDM,73,Spain
Juan Cruz,CA Osasuna,2021/22,LB,73,Spain
S. Mitrović,Getafe CF,2021/22,CB,73,Serbia
A. Solari,RC Celta de Vigo,2021/22,RW,73,Argentina
E. Roco,Elche CF,2021/22,CB,73,Chile
Ó. Duarte,Levante Unión Deportiva,2021/22,CB,73,Costa Rica
Róber,Levante Unión Deportiva,2021/22,CB,73,Spain
I. Arboleda,Rayo Vallecano,2021/22,GK,73,Colombia
Jason,Valencia CF,2021/22,RW,73,Spain
Akapo,Cádiz CF,2021/22,RB,73,Equatorial Guinea
Pozo,Rayo Vallecano,2021/22,CAM,73,Spain
H. Palacios,Elche CF,2021/22,RB,73,Colombia
Edgar Méndez,Deportivo Alavés,2021/22,RW,73,Spain
Iza Carcelén,Cádiz CF,2021/22,RB,73,Spain
Diego Rico,Real Sociedad,2021/22,LB,73,Spain
Manu García,Deportivo Alavés,2021/22,CAM,73,Spain
Luis Rioja,Deportivo Alavés,2021/22,LW,73,Spain
F. Andone,Cádiz CF,2021/22,ST,73,Romania
Kike Barja,CA Osasuna,2021/22,RW,73,Spain
Raúl Guti,Elche CF,2021/22,CM,73,Spain
Raillo,RCD Mallorca,2021/22,CB,73,Spain
Josan,Elche CF,2021/22,RW,73,Spain
M. Diakhaby,Valencia CF,2021/22,CB,73,France
Toni Lato,Valencia CF,2021/22,LB,73,Spain
Aleix Febas,RCD Mallorca,2021/22,CM,73,Spain
Santi Comesaña,Rayo Vallecano,2021/22,CDM,73,Spain
E. Cabaco,Getafe CF,2021/22,CB,73,Uruguay
Guridi,Real Sociedad,2021/22,CM,73,Spain
Dani Raba,Villarreal CF,2021/22,RW,73,Spain
Manu Morlanes,RCD Espanyol de Barcelona,2021/22,CDM,73,Spain
Dani Gómez,Levante Unión Deportiva,2021/22,ST,73,Spain
Catena,Rayo Vallecano,2021/22,CB,73,Spain
Sancet,Athletic Club de Bilbao,2021/22,ST,73,Spain
I. Baba,RCD Mallorca,2021/22,CDM,73,Ghana
Hugo Guillamón,Valencia CF,2021/22,CB,73,Spain
R. Nteka,Rayo Vallecano,2021/22,ST,73,France
Son,Levante Unión Deportiva,2021/22,RB,73,Spain
Manu Sánchez,CA Osasuna,2021/22,LB,73,Spain
Fer Niño,RCD Mallorca,2021/22,ST,73,Spain
Jon Morcillo,Athletic Club de Bilbao,2021/22,LW,73,Spain
Yeremy Pino,Villarreal CF,2021/22,RW,73,Spain
Mario Suárez,Rayo Vallecano,2021/22,CDM,72,Spain
Coke,Levante Unión Deportiva,2021/22,RB,72,Spain
Ramalho,CA Osasuna,2021/22,CB,72,Angola
Vadillo,RCD Espanyol de Barcelona,2021/22,LW,72,Spain
Bigas,Elche CF,2021/22,CB,72,Spain
Quini,Granada CF,2021/22,LB,72,Spain
José Mari,Cádiz CF,2021/22,CDM,72,Spain
M. Miazga,Deportivo Alavés,2021/22,CB,72,United States
Unai García,CA Osasuna,2021/22,CB,72,Spain
Sandro,Getafe CF,2021/22,ST,72,Spain
Camarasa,Real Betis Balompié,2021/22,CM,72,Spain
Marcos Mauro,Cádiz CF,2021/22,CB,72,Argentina
Sivera,Deportivo Alavés,2021/22,GK,72,Spain
M. Sylla,Deportivo Alavés,2021/22,ST,72,Senegal
Kevin,RC Celta de Vigo,2021/22,RB,72,Spain
Sergi Guardiola,Rayo Vallecano,2021/22,ST,72,Spain
Joan Sastre,RCD Mallorca,2021/22,RB,72,Spain
Garrido,Cádiz CF,2021/22,CDM,72,Spain
Dani Cárdenas,Levante Unión Deportiva,2021/22,GK,72,Spain
Tete Morente,Elche CF,2021/22,RW,72,Spain
Óscar Gil,RCD Espanyol de Barcelona,2021/22,RB,72,Spain
Fran García,Rayo Vallecano,2021/22,LB,72,Spain
Edgar,Real Betis Balompié,2021/22,CDM,72,Spain
Antonio Sánchez,RCD Mallorca,2021/22,CAM,72,Spain
Zarraga,Athletic Club de Bilbao,2021/22,CM,72,Spain
D. Greif,RCD Mallorca,2021/22,GK,72,Slovakia
Abdón Prats,RCD Mallorca,2021/22,ST,71,Spain
V. Haroyan,Cádiz CF,2021/22,CB,71,Armenia
G. Carrillo,Elche CF,2021/22,ST,71,Argentina
Rober Ibáñez,CA Osasuna,2021/22,RW,71,Spain
Saúl,Deportivo Alavés,2021/22,LB,71,Spain
Chema Rodríguez,Getafe CF,2021/22,CB,71,Spain
Pepelu,Levante Unión Deportiva,2021/22,CDM,71,Spain
Miguelón,RCD Espanyol de Barcelona,2021/22,RB,71,Spain
I. Šaponjić,Atlético de Madrid,2021/22,ST,71,Serbia
T. Alarcón,Cádiz CF,2021/22,CDM,71,Chile
Jorge Cuenca,Getafe CF,2021/22,CB,71,Spain
Jordi Mboula,RCD Mallorca,2021/22,RW,71,Spain
N. Maraš,Rayo Vallecano,2021/22,CB,71,Serbia
Alberto Soro,Granada CF,2021/22,RW,71,Spain
Óscar Valentín,Rayo Vallecano,2021/22,CDM,71,Spain
Gonzalo Verdú,Elche CF,2021/22,CB,71,Spain
M. Loum,Deportivo Alavés,2021/22,CDM,71,Senegal
F. Russo,RCD Mallorca,2021/22,CB,71,Argentina
Vivian,Athletic Club de Bilbao,2021/22,CB,71,Spain
Y. Musah,Valencia CF,2021/22,RW,71,United States
Blanco,Real Madrid CF,2021/22,CM,71,Spain
M. Osmajić,Cádiz CF,2021/22,ST,71,Montenegro
Thiago Galhardo,RC Celta de Vigo,2021/22,ST,70,Brazil
R. Azeez,Granada CF,2021/22,CDM,70,Nigeria
Gumbau,Elche CF,2021/22,CDM,70,Spain
A. Werner,Elche CF,2021/22,GK,70,Argentina
Rubén Yáñez,Getafe CF,2021/22,GK,70,Spain
Aarón,Granada CF,2021/22,GK,70,Spain
Diego González,Elche CF,2021/22,CB,70,Spain
Brian Oliván,RCD Mallorca,2021/22,LB,70,Spain
A. Sedlar,RCD Mallorca,2021/22,CB,70,Serbia
Álvaro Jiménez,Cádiz CF,2021/22,RW,70,Spain
M. Wagué,FC Barcelona,2021/22,RB,70,Senegal
L. Zidane,Rayo Vallecano,2021/22,GK,70,France
Toni Moya,Deportivo Alavés,2021/22,CM,70,Spain
Monchu,Granada CF,2021/22,CM,70,Spain
Álex Blanco,Valencia CF,2021/22,LW,70,Spain
Iván Martín,Deportivo Alavés,2021/22,RW,70,Spain
P. Akouokou,Real Betis Balompié,2021/22,CDM,70,Côte d'Ivoire
S. Arzamendia,Cádiz CF,2021/22,LB,70,Paraguay
P. Ciss,Rayo Vallecano,2021/22,CDM,70,Senegal
Y. Demir,FC Barcelona,2021/22,CAM,70,Austria
Franquesa,Levante Unión Deportiva,2021/22,LB,70,Spain
F. Pellistri,Deportivo Alavés,2021/22,RW,70,Uruguay
Javi Martínez,CA Osasuna,2021/22,CM,70,Spain
Rodri,Real Betis Balompié,2021/22,LW,70,Spain
Cantero,Levante Unión Deportiva,2021/22,LW,70,Spain
E. Saveljich,Rayo Vallecano,2021/22,CB,69,Montenegro
Juan Pérez,CA Osasuna,2021/22,GK,69,Spain
Josema,Elche CF,2021/22,CB,69,Spain
Nolaskoain,Athletic Club de Bilbao,2021/22,CM,69,Spain
Hugo Duro,Valencia CF,2021/22,ST,69,Spain
Rober,Real Betis Balompié,2021/22,RW,69,Spain
Andrés Martín,Rayo Vallecano,2021/22,ST,69,Spain
Iñaki Peña,FC Barcelona,2021/22,GK,69,Spain
Jaume Grau,CA Osasuna,2021/22,CDM,69,Spain
Miguel Baeza,RC Celta de Vigo,2021/22,LW,69,Spain
Jofre Carreras,RCD Espanyol de Barcelona,2021/22,RW,69,Spain
M. Hoppe,RCD Mallorca,2021/22,ST,69,United States
Juan Iglesias,Getafe CF,2021/22,RB,69,Spain
Y. Qasmi,Rayo Vallecano,2021/22,ST,68,Morocco
Pablo Iñiguez,Villarreal CF,2021/22,CB,68,Spain
David Gil,Cádiz CF,2021/22,GK,68,Spain
Matheus Pereira,FC Barcelona,2021/22,CAM,68,Brazil
H. Abe,FC Barcelona,2021/22,LW,68,Japan
Y. Fekir,Real Betis Balompié,2021/22,LW,68,France
Miguel,Deportivo Alavés,2021/22,ST,68,Spain
Nico González,FC Barcelona,2021/22,CM,68,Spain
Barbero,CA Osasuna,2021/22,ST,68,Spain
José Fontán,RC Celta de Vigo,2021/22,LB,68,Spain
Tachi,Deportivo Alavés,2021/22,CB,67,Spain
Areso,CA Osasuna,2021/22,RB,67,Spain
Cristian Rivero,Valencia CF,2021/22,GK,67,Spain
Álex Collado,FC Barcelona,2021/22,RW,67,Spain
N. Lozano,Granada CF,2021/22,CB,67,Colombia
Iker Losada,RC Celta de Vigo,2021/22,ST,67,Spain
Robert Navarro,Real Sociedad,2021/22,CAM,67,Spain
Raúl García,Real Betis Balompié,2021/22,ST,67,Spain
Jorge Padilla,Levante Unión Deportiva,2021/22,ST,67,Spain
Nico Williams,Athletic Club de Bilbao,2021/22,RW,67,Spain
Marvin,Real Madrid CF,2021/22,RW,67,Spain
Arnau Tenas,FC Barcelona,2021/22,GK,67,Spain
Víctor Chust,Cádiz CF,2021/22,CB,67,Spain
Joan García,RCD Espanyol de Barcelona,2021/22,GK,67,Spain
Álex Petxa,Athletic Club de Bilbao,2021/22,RB,67,Spain
Chapela,Cádiz CF,2021/22,RW,67,Spain
Ezkieta,Athletic Club de Bilbao,2021/22,GK,66,Spain
D. Gudelj,Cádiz CF,2021/22,LB,66,Serbia
Álex Martín,RC Celta de Vigo,2021/22,CB,66,Spain
José Lara,Real Betis Balompié,2021/22,RW,66,Spain
Kike Hermoso,Real Betis Balompié,2021/22,CB,66,Spain
Álvaro García,RCD Espanyol de Barcelona,2021/22,CB,66,Spain
Pablo Martínez,Levante Unión Deportiva,2021/22,LW,66,Spain
K. Koindredi,Valencia CF,2021/22,CM,66,France
K. Ruiz-Atil,FC Barcelona,2021/22,CAM,66,Morocco
Martín Calderón,Cádiz CF,2021/22,CM,66,Spain
Lautaro,RC Celta de Vigo,2021/22,ST,66,Uruguay
Jesús Vázquez,Valencia CF,2021/22,LB,66,Spain
Miguel,Real Madrid CF,2021/22,LB,66,Spain
Carlos Domínguez,RC Celta de Vigo,2021/22,CB,66,Spain
Álex Balde,FC Barcelona,2021/22,LB,66,Spain
Beñat Prados,Athletic Club de Bilbao,2021/22,CM,66,Spain
A. Burlamaqui,Valencia CF,2021/22,CDM,66,Peru
Gavi,FC Barcelona,2021/22,CM,66,Spain
Camus,Atlético de Madrid,2021/22,RB,65,Spain
Javi Díaz,Sevilla FC,2021/22,GK,65,Spain
Darío Poveda,Getafe CF,2021/22,ST,65,Spain
Mario Hernández,Rayo Vallecano,2021/22,RB,65,Spain
Juan Cruz,Real Betis Balompié,2021/22,LW,65,Spain
Martín,Villarreal CF,2021/22,CB,65,Spain
Sergio Moreno,Rayo Vallecano,2021/22,ST,65,Spain
G. Simeone,Atlético de Madrid,2021/22,ST,65,Argentina
Pablo Gozálbez,Valencia CF,2021/22,CAM,65,Spain
Javi Castro,RC Celta de Vigo,2021/22,CB,65,Spain
Pacheco,Real Sociedad,2021/22,CB,65,Spain
Javi López,Deportivo Alavés,2021/22,LB,65,Spain
Leo Román,RCD Mallorca,2021/22,GK,65,Spain
Diego Conde,Getafe CF,2021/22,GK,65,Spain
Cedric Teguía,RC Celta de Vigo,2021/22,LW,65,Spain
Iván Bravo,CA Osasuna,2021/22,LB,65,Spain
Arribas,Real Madrid CF,2021/22,CAM,65,Spain
João Costa,Granada CF,2021/22,GK,64,Portugal
Carbonell,RC Celta de Vigo,2021/22,CM,64,Spain
R. Guerra,Villarreal CF,2021/22,CDM,64,Uruguay
De La Fuente,Villarreal CF,2021/22,CB,64,Spain
A. Solano,Atlético de Madrid,2021/22,RB,64,Colombia
Javi Gómez,RC Celta de Vigo,2021/22,LW,64,Spain
Migue,Villarreal CF,2021/22,RB,64,Spain
Pepe Sánchez,Granada CF,2021/22,RB,64,Spain
Fran González,Atlético de Madrid,2021/22,CB,64,Spain
Toni Herrero,Levante Unión Deportiva,2021/22,LB,64,Spain
Álex Blesa,Levante Unión Deportiva,2021/22,CM,64,Spain
Aimar Oroz,CA Osasuna,2021/22,CAM,64,Spain
Isma Ruiz,Granada CF,2021/22,CDM,64,Spain
Gori,RCD Espanyol de Barcelona,2021/22,CM,64,Spain
Javi Serrano,Atlético de Madrid,2021/22,CDM,64,Spain
Alberto Moreno,Atlético de Madrid,2021/22,CM,64,Spain
Pep Gayà,RCD Mallorca,2021/22,CB,64,Spain
Diego Moreno,CA Osasuna,2021/22,RB,64,Spain
L. Spatz,Cádiz CF,2021/22,CB,64,Argentina
Christian Gómez,Atlético de Madrid,2021/22,GK,64,Spain
J. Holsgrove,RC Celta de Vigo,2021/22,CM,63,Scotland
Sillero,Athletic Club de Bilbao,2021/22,CB,63,Spain
K. Fobi,Granada CF,2021/22,RB,63,Ghana
Sergio Lozano,Villarreal CF,2021/22,CM,63,Spain
Nabil Touaizi,RCD Espanyol de Barcelona,2021/22,ST,63,Morocco
Jony Álamo,Elche CF,2021/22,CDM,63,Spain
Luis Carbonell,Real Madrid CF,2021/22,ST,63,Spain
F. Jörgensen,Villarreal CF,2021/22,GK,63,Sweden
Lanchi,Villarreal CF,2021/22,RB,63,Spain
Zarzana,Sevilla FC,2021/22,RW,63,Spain
Nico Serrano,Athletic Club de Bilbao,2021/22,LW,63,Spain
Ángel Jiménez,Granada CF,2021/22,GK,63,Spain
I. Diabate,RCD Mallorca,2021/22,ST,63,Côte d'Ivoire
Svensson,RCD Espanyol de Barcelona,2021/22,ST,63,Spain
Iker Recio,Rayo Vallecano,2021/22,CB,63,Spain
E. Sevikyan,Levante Unión Deportiva,2021/22,RW,63,Russia
O. El Hilali,RCD Espanyol de Barcelona,2021/22,RB,63,Spain
Mini,Atlético de Madrid,2021/22,CM,63,Spain
Agirrezabala,Athletic Club de Bilbao,2021/22,GK,63,Spain
Pablo Gálvez,RCD Mallorca,2021/22,ST,63,Spain
Torrente,Granada CF,2021/22,CB,63,Spain
Llabrés,RCD Mallorca,2021/22,LW,63,Spain
Iker Benito,CA Osasuna,2021/22,RW,63,Spain
Luis López,Real Madrid CF,2021/22,GK,63,Spain
Alfon,RC Celta de Vigo,2021/22,ST,62,Spain
Relu,Levante Unión Deportiva,2021/22,CDM,62,Spain
Carrasco,Cádiz CF,2021/22,RB,62,Spain
J. Flere,Cádiz CF,2021/22,GK,62,Argentina
N. Iosifov,Villarreal CF,2021/22,LW,62,Russia
Pere Joan,RCD Mallorca,2021/22,GK,62,Spain
Aitor Paredes,Athletic Club de Bilbao,2021/22,CB,62,Spain
Alfonso Pastor,Sevilla FC,2021/22,GK,62,Spain
Sergio Barcia,Granada CF,2021/22,CB,62,Spain
De Tomás,Rayo Vallecano,2021/22,LW,62,Spain
E. Sutherland,Atlético de Madrid,2021/22,RW,62,England
Bastida,Cádiz CF,2021/22,CDM,62,Spain
Alan Godoy,Deportivo Alavés,2021/22,ST,62,Spain
Álvaro Bravo,Granada CF,2021/22,CM,62,Spain
Alejandro Iturbe,Atlético de Madrid,2021/22,GK,62,Spain
Pablo Valencia,CA Osasuna,2021/22,GK,62,Spain
Campos,RC Celta de Vigo,2021/22,GK,61,Spain
A. Abqar,Deportivo Alavés,2021/22,CB,61,Morocco
Manu Navarro,Rayo Vallecano,2021/22,CM,61,Spain
V. De Baunbag,RCD Mallorca,2021/22,ST,61,Spain
Nacho Ramón,Elche CF,2021/22,ST,61,Spain
Dani Plomer,Granada CF,2021/22,LW,61,Spain
Pablo Pérez,Sevilla FC,2021/22,LB,61,Spain
T. Nakai,Real Madrid CF,2021/22,CAM,61,Japan
Arratia,Rayo Vallecano,2021/22,CM,61,Spain
Recasens,RCD Espanyol de Barcelona,2021/22,CB,61,Spain
Pablo Ibáñez,CA Osasuna,2021/22,CM,61,Spain
Diego López,Valencia CF,2021/22,ST,61,Spain
Adrián,Deportivo Alavés,2021/22,GK,60,Argentina
Salazar,Real Madrid CF,2021/22,ST,60,Spain
John Donald,Elche CF,2021/22,CDM,60,Spain
Pablo Picón,Levante Unión Deportiva,2021/22,GK,60,Spain
Carlos Beitia,RC Celta de Vigo,2021/22,CM,60,Spain
Carmona,Sevilla FC,2021/22,RB,60,Spain
Iván Romero,Sevilla FC,2021/22,ST,60,Spain
Pedro Ortiz,Sevilla FC,2021/22,CM,60,Spain
Joseda,Valencia CF,2021/22,RB,60,Spain
Algobia,Getafe CF,2021/22,CM,59,Spain
M. Niang,Getafe CF,2021/22,ST,59,Spain
John Patrick,Getafe CF,2021/22,CAM,59,Spain
Diego Bri,Elche CF,2021/22,LW,58,Spain
W. Suzuki,Valencia CF,2021/22,ST,58,Japan
Alex Rodríguez,Getafe CF,2021/22,RB,58,Spain
A. Akurugu,Getafe CF,2021/22,LB,58,Ghana
Lluis Andreu,Elche CF,2021/22,GK,56,Spain
Karim Benzema,Real Madrid CF,2022/23,ST,91,France
Robert Lewandowski,FC Barcelona,2022/23,ST,91,Poland
Thibaut Courtois,Real Madrid CF,2022/23,GK,90,Belgium
Jan Oblak,Atlético de Madrid,2022/23,GK,89,Slovenia
Marc-André ter Stegen,FC Barcelona,2022/23,GK,88,Germany
Toni Kroos,Real Madrid CF,2022/23,CM,88,Germany
Luka Modrić,Real Madrid CF,2022/23,CM,88,Croatia
Antonio Rüdiger,Real Madrid CF,2022/23,CB,87,Germany
Frenkie de Jong,FC Barcelona,2022/23,CM,87,Netherlands
David Alaba,Real Madrid CF,2022/23,CB,86,Austria
Daniel Parejo Muñoz,Villarreal CF,2022/23,CM,86,Spain
Vinícius José de Oliveira Júnior,Real Madrid CF,2022/23,LW,86,Brazil
Nabil Fekir,Real Betis Balompié,2022/23,CAM,85,France
Jordi Alba Ramos,FC Barcelona,2022/23,LB,85,Spain
Sergio Busquets Burgos,FC Barcelona,2022/23,CDM,85,Spain
Iago Aspas Juncal,RC Celta de Vigo,2022/23,ST,85,Spain
Memphis Depay,FC Barcelona,2022/23,ST,85,Netherlands
Marcos Acuña,Sevilla FC,2022/23,LB,85,Argentina
Gerard Moreno Balagueró,Villarreal CF,2022/23,ST,85,Spain
Yannick Carrasco,Atlético de Madrid,2022/23,LW,85,Belgium
Pedro González López,FC Barcelona,2022/23,CM,85,Spain
Alejandro Gómez,Sevilla FC,2022/23,CAM,84,Argentina
Yassine Bounou,Sevilla FC,2022/23,GK,84,Morocco
Daniel Carvajal Ramos,Real Madrid CF,2022/23,RB,84,Spain
Stefan Savić,Atlético de Madrid,2022/23,CB,84,Montenegro
Sergio Canales Madrazo,Real Betis Balompié,2022/23,RW,84,Spain
Iker Muniain Goñi,Athletic Club de Bilbao,2022/23,LW,84,Spain
Eden Hazard,Real Madrid CF,2022/23,LW,84,Belgium
Rodrigo Javier De Paul,Atlético de Madrid,2022/23,CM,84,Argentina
Jules Koundé,FC Barcelona,2022/23,CB,84,France
Éder Gabriel Militão,Real Madrid CF,2022/23,CB,84,Brazil
Federico Valverde,Real Madrid CF,2022/23,CM,84,Uruguay
João Félix Sequeira,Atlético de Madrid,2022/23,ST,84,Portugal
Franck Yannick Kessié,FC Barcelona,2022/23,CDM,84,Côte d'Ivoire
Mikel Oyarzabal Ugarte,Real Sociedad,2022/23,LW,84,Spain
Marcos Llorente Moreno,Atlético de Madrid,2022/23,CM,84,Spain
Ousmane Dembélé,FC Barcelona,2022/23,RW,83,France
Marco Asensio Willemsen,Real Madrid CF,2022/23,RW,83,Spain
Mikel Merino Zazón,Real Sociedad,2022/23,CM,83,Spain
Ferland Mendy,Real Madrid CF,2022/23,LB,83,France
Unai Simón Mendibil,Athletic Club de Bilbao,2022/23,GK,83,Spain
Raphael Dias Belloli,FC Barcelona,2022/23,RW,83,Brazil
Pau Francisco Torres,Villarreal CF,2022/23,CB,83,Spain
Ronald Araujo,FC Barcelona,2022/23,CB,83,Uruguay
Ángel Correa,Atlético de Madrid,2022/23,ST,83,Argentina
José María Giménez,Atlético de Madrid,2022/23,CB,83,Uruguay
Thomas Lemar,Atlético de Madrid,2022/23,CM,83,France
Jesús Navas González,Sevilla FC,2022/23,RB,83,Spain
Gerard Piqué Bernabeu,FC Barcelona,2022/23,CB,83,Spain
Fernando Reges Mouta,Sevilla FC,2022/23,CDM,83,Brazil
David Josué Jiménez Silva,Real Sociedad,2022/23,CAM,83,Spain
Antoine Griezmann,Atlético de Madrid,2022/23,ST,83,France
Jorge Resurrección,Atlético de Madrid,2022/23,CM,83,Spain
Gerónimo Rulli,Villarreal CF,2022/23,GK,82,Argentina
David Soria Solís,Getafe CF,2022/23,GK,82,Spain
Andreas Christensen,FC Barcelona,2022/23,CB,82,Denmark
José Luís Gayà Peña,Valencia CF,2022/23,LB,82,Spain
Aritz Elustondo,Real Sociedad,2022/23,CB,82,Spain
Alejandro Remiro Gargallo,Real Sociedad,2022/23,GK,82,Spain
Aurélien Tchouaméni,Real Madrid CF,2022/23,CM,82,France
Ferran Torres García,FC Barcelona,2022/23,LW,82,Spain
Arnaut Danjuma,Villarreal CF,2022/23,LW,82,Netherlands
Sergi Darder Moll,RCD Espanyol de Barcelona,2022/23,CM,82,Spain
Iñigo Martínez Berridi,Athletic Club de Bilbao,2022/23,CB,82,Spain
Ivan Rakitić,Sevilla FC,2022/23,CM,82,Croatia
Yuri Berchiche Izeta,Athletic Club de Bilbao,2022/23,LB,82,Spain
Raúl Albiol Tortajada,Villarreal CF,2022/23,CB,82,Spain
Francisco Román Alarcón Suárez,Sevilla FC,2022/23,CAM,82,Spain
Geoffrey Kondogbia,Atlético de Madrid,2022/23,CM,82,Central African Republic
Gabriel Armando de Abreu,Valencia CF,2022/23,CB,82,Brazil
José Ignacio Fernández Iglesias,Real Madrid CF,2022/23,CB,82,Spain
Jesús Corona,Sevilla FC,2022/23,RW,81,Mexico
Thomas Delaney,Sevilla FC,2022/23,CDM,81,Denmark
Matheus Santos Carneiro Da Cunha,Atlético de Madrid,2022/23,ST,81,Brazil
Rodrygo Silva de Goes,Real Madrid CF,2022/23,RW,81,Brazil
Felipe Augusto de Almeida Monteiro,Atlético de Madrid,2022/23,CB,81,Brazil
Guido Rodríguez,Real Betis Balompié,2022/23,CDM,81,Argentina
Edinson Cavani,Valencia CF,2022/23,ST,81,Uruguay
Giovani Lo Celso,Villarreal CF,2022/23,CM,81,Argentina
Borja Iglesias Quintás,Real Betis Balompié,2022/23,ST,81,Spain
Lucas Vázquez Iglesias,Real Madrid CF,2022/23,RB,81,Spain
Robin Le Normand,Real Sociedad,2022/23,CB,81,France
Iñaki Williams Arthuer,Athletic Club de Bilbao,2022/23,ST,81,Ghana
Youssef En-Nesyri,Sevilla FC,2022/23,ST,80,Morocco
Javier Galán Gil,RC Celta de Vigo,2022/23,LB,80,Spain
Mauro Arambarri,Getafe CF,2022/23,CDM,80,Uruguay
Mario Hermoso Canseco,Atlético de Madrid,2022/23,CB,80,Spain
Marko Dmitrović,Sevilla FC,2022/23,GK,80,Serbia
Sergio Reguilón Rodríguez,Atlético de Madrid,2022/23,LWB,80,Spain
Jonathan Viera Ramos,Unión Deportiva Las Palmas,2022/23,CAM,80,Spain
Sergio Roberto Carnicer,FC Barcelona,2022/23,RB,80,Spain
Álvaro Borja Morata Martín,Atlético de Madrid,2022/23,ST,80,Spain
Edgar Badia Guardiola,Elche CF,2022/23,GK,80,Spain
Yeray Álvarez López,Athletic Club de Bilbao,2022/23,CB,80,Spain
Raúl García Escudero,Athletic Club de Bilbao,2022/23,ST,80,Spain
José Luis Sanmartín Mato,RCD Espanyol de Barcelona,2022/23,ST,80,Spain
Etienne Capoue,Villarreal CF,2022/23,CM,80,France
Francis Coquelin,Villarreal CF,2022/23,CM,80,France
Alexandre Moreno Lopera,Real Betis Balompié,2022/23,LB,80,Spain
Jeremías Conan Ledesma,Cádiz CF,2022/23,GK,80,Argentina
Joan Jordán Moreno,Sevilla FC,2022/23,CM,80,Spain
Alejandro Berenguer Remiro,Athletic Club de Bilbao,2022/23,RW,80,Spain
José Luis Morales Nogales,Villarreal CF,2022/23,LW,80,Spain
William Silva de Carvalho,Real Betis Balompié,2022/23,CDM,80,Portugal
Saúl Ñíguez Esclápez,Atlético de Madrid,2022/23,CM,80,Spain
Rui Tiago Dantas da Silva,Real Betis Balompié,2022/23,GK,80,Portugal
Alex Nicolao Telles,Sevilla FC,2022/23,LB,80,Brazil
Nemanja Maksimović,Getafe CF,2022/23,CM,79,Serbia
Unai Núñez Gestoso,RC Celta de Vigo,2022/23,CB,79,Spain
Luis Milla Manzanares,Getafe CF,2022/23,CDM,79,Spain
Juan Foyth,Villarreal CF,2022/23,RB,79,Argentina
Diego López Rodríguez,Rayo Vallecano,2022/23,GK,79,Spain
Anssumane Fati,FC Barcelona,2022/23,LW,79,Spain
Pablo Martín Páez Gavira,FC Barcelona,2022/23,CM,79,Spain
Yeremy Jesús Pino Santos,Villarreal CF,2022/23,RW,79,Spain
Samuel Chukwueze,Villarreal CF,2022/23,RW,79,Nigeria
Eduardo Camavinga,Real Madrid CF,2022/23,CM,79,France
Martín Zubimendi Ibáñez,Real Sociedad,2022/23,CM,79,Spain
Gonzalo Montiel,Sevilla FC,2022/23,RB,79,Argentina
Ezequiel Ávila,CA Osasuna,2022/23,ST,79,Argentina
David García Zubiria,CA Osasuna,2022/23,CB,79,Spain
Rafael Mir Vicente,Sevilla FC,2022/23,ST,79,Spain
Joaquín Sánchez Rodríguez,Real Betis Balompié,2022/23,RW,79,Spain
Óscar Trejo,Rayo Vallecano,2022/23,CAM,79,Argentina
Axel Witsel,Atlético de Madrid,2022/23,CDM,79,Belgium
Sergio Asenjo Andrés,Real Valladolid CF,2022/23,GK,79,Spain
Reinildo Isnard Mandava,Atlético de Madrid,2022/23,LB,79,Mozambique
Francisco José Beltrán Peinado,RC Celta de Vigo,2022/23,CDM,79,Spain
Marcos Nascimento Teixeira,Sevilla FC,2022/23,CB,79,Brazil
Renato Tapia,RC Celta de Vigo,2022/23,CDM,79,Peru
Jesús Joaquín Fernández Sáez,Sevilla FC,2022/23,RW,79,Spain
Agustín Marchesín,RC Celta de Vigo,2022/23,GK,79,Argentina
Juan Miguel Jiménez López,Real Betis Balompié,2022/23,LW,79,Spain
Nemanja Gudelj,Sevilla FC,2022/23,CDM,79,Serbia
Marcos Alonso Mendoza,FC Barcelona,2022/23,LB,79,Spain
Ander Herrera Agüera,Athletic Club de Bilbao,2022/23,CM,79,Spain
Héctor Bellerín Moruno,FC Barcelona,2022/23,RB,79,Spain
Munir El Haddadi,Getafe CF,2022/23,LW,79,Morocco
Dakonam Djené,Getafe CF,2022/23,CB,79,Togo
Rubén García Santos,CA Osasuna,2022/23,LW,79,Spain
Adnan Januzaj,Sevilla FC,2022/23,RW,79,Belgium
Manuel Trigueros Muñoz,Villarreal CF,2022/23,CM,79,Spain
Denis Suárez Fernández,RC Celta de Vigo,2022/23,CM,79,Spain
Erik Lamela,Sevilla FC,2022/23,RW,79,Argentina
Luiz Felipe Ramos Marchi,Real Betis Balompié,2022/23,CB,79,Italy
Javier Puado Díaz,RCD Espanyol de Barcelona,2022/23,LW,78,Spain
Alfonso Espino,Cádiz CF,2022/23,LB,78,Uruguay
